#{"t_start": 1762054887.7547696, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,156.430243
-200.0,200,156.622531
-200.0,200,158.508475
-200.0,200,158.704109
-200.0,200,158.898214
-200.0,200,159.093205
-200.0,200,159.287614
-200.0,200,159.48421
-200.0,200,159.68007
-200.0,200,159.877222
-200.0,200,160.078741
-200.0,200,160.277377
-200.0,200,160.476024
-200.0,200,162.373814
-200.0,200,162.564017
-200.0,200,162.753933
-200.0,200,162.943574
-200.0,200,163.135021
-200.0,200,163.325905
-200.0,200,163.517905
-200.0,200,163.713675
-200.0,200,163.908716
-200.0,200,164.09963
-200.0,200,165.995318
-200.0,200,166.189294
-200.0,200,166.3785
-200.0,200,166.567381
-200.0,200,166.760063
-200.0,200,166.952243
-200.0,200,167.147578
-200.0,200,167.341709
-200.0,200,167.536049
-200.0,200,167.733437
-200.0,200,169.613563
-200.0,200,169.808449
-200.0,200,169.999858
-200.0,200,170.188603
-200.0,200,170.376588
-200.0,200,170.564668
-200.0,200,170.753749
-200.0,200,170.943408
-200.0,200,171.134074
-200.0,200,171.323605
-200.0,200,173.194366
-200.0,200,173.384346
-200.0,200,173.578485
-200.0,200,173.775188
-200.0,200,173.967985
-200.0,200,174.162228
-200.0,200,174.356536
-200.0,200,174.556058
-200.0,200,174.753595
-200.0,200,174.946898
-200.0,200,175.140858
-200.0,200,177.018767
-200.0,200,177.208571
-200.0,200,177.398178
-200.0,200,177.586742
-200.0,200,177.77586
-200.0,200,177.96659
-200.0,200,178.158506
-200.0,200,178.35201
-200.0,200,178.544657
-200.0,200,178.738548
-200.0,200,180.635729
-200.0,200,180.828636
-200.0,200,181.025179
-200.0,200,181.220241
-200.0,200,181.434684
-200.0,200,181.701839
-200.0,200,182.060131
-200.0,200,182.340729
-200.0,200,182.570459
-200.0,200,182.792023
-200.0,200,185.162396
-200.0,200,185.352449
-200.0,200,185.5426
-200.0,200,185.734457
-200.0,200,185.930593
-200.0,200,186.12228
-200.0,200,186.310558
-200.0,200,186.497765
-200.0,200,186.685477
-200.0,200,186.877447
-200.0,200,188.776182
-200.0,200,188.971049
-200.0,200,189.164223
-200.0,200,189.354073
-200.0,200,189.543235
-200.0,200,189.732489
-200.0,200,189.922081
-200.0,200,190.114956
-200.0,200,190.307109
-200.0,200,190.50002
-200.0,200,190.693979
-200.0,200,192.757551
-200.0,200,192.951058
-200.0,200,193.143704
-200.0,200,193.336673
-200.0,200,193.529688
-200.0,200,193.722537
-200.0,200,193.915343
-200.0,200,194.106537
-200.0,200,194.295136
-200.0,200,194.484756
-200.0,200,196.361707
-200.0,200,196.554753
-200.0,200,196.74446
-200.0,200,196.93614
-200.0,200,197.130875
-200.0,200,197.326584
-200.0,200,197.521554
-200.0,200,197.715118
-200.0,200,197.908117
-200.0,200,198.101124
-200.0,200,199.990467
-200.0,200,200.186614
-200.0,200,200.386266
-200.0,200,200.586287
-200.0,200,200.78336
-200.0,200,200.978439
-200.0,200,201.177649
-200.0,200,201.376158
-200.0,200,201.569837
-200.0,200,201.764084
