#{"t_start": 1762054610.8180823, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,184.548799
-200.0,200,185.008555
-200.0,200,185.486575
-200.0,200,185.97557
-200.0,200,186.442748
-200.0,200,186.906682
-200.0,200,187.34713
-200.0,200,187.764788
-200.0,200,188.176683
-200.0,200,188.571616
-200.0,200,188.973182
-200.0,200,189.367273
-200.0,200,189.75064
-200.0,200,190.13163
-200.0,200,190.513984
-200.0,200,190.89998
-200.0,200,191.288486
-200.0,200,191.677502
-200.0,200,192.066075
-200.0,200,192.451925
-200.0,200,192.849719
-200.0,200,193.244703
-200.0,200,193.634874
-200.0,200,194.022157
-200.0,200,194.403608
-200.0,200,194.786825
-200.0,200,195.179275
-200.0,200,195.567161
-200.0,200,195.958256
-200.0,200,196.348636
-200.0,200,196.736063
-200.0,200,197.121694
-200.0,200,197.512499
-200.0,200,197.93866
-200.0,200,198.323176
-200.0,200,198.705319
-200.0,200,199.091655
-200.0,200,199.475522
-200.0,200,199.862358
-200.0,200,200.248161
-200.0,200,200.635696
-200.0,200,201.023865
-200.0,200,201.408024
-200.0,200,201.794409
-200.0,200,202.181207
-200.0,200,202.570726
-200.0,200,202.961039
-200.0,200,203.348293
-200.0,200,203.734013
-200.0,200,204.128789
-200.0,200,204.518581
-200.0,200,204.910174
-200.0,200,205.297927
-200.0,200,205.686857
-200.0,200,206.077165
-200.0,200,206.46567
-200.0,200,206.853973
-200.0,200,207.246533
-200.0,200,207.635579
-200.0,200,208.026893
-200.0,200,208.416258
-200.0,200,208.800993
-200.0,200,209.187229
-200.0,200,209.576236
-200.0,200,209.965052
-200.0,200,210.351849
-200.0,200,210.742114
-200.0,200,211.139901
-200.0,200,211.531212
-200.0,200,211.924103
-200.0,200,212.3235
-200.0,200,212.712531
-200.0,200,213.103575
-200.0,200,213.492404
-200.0,200,213.889115
-200.0,200,214.275894
-200.0,200,214.66246
-200.0,200,215.057958
-200.0,200,215.447886
-200.0,200,215.838409
-200.0,200,216.226635
-200.0,200,216.617246
-200.0,200,217.011879
-200.0,200,217.411339
-200.0,200,217.803785
-200.0,200,218.190763
-200.0,200,218.578242
-200.0,200,218.967979
-200.0,200,219.36029
