#{"t_start": 1762006487.230533, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,144.390467
-200.0,200,144.784205
-200.0,200,145.174536
-200.0,200,145.56275
-200.0,200,145.960307
-200.0,200,146.391792
-200.0,200,146.776632
-200.0,200,147.161378
-200.0,200,147.546446
-200.0,200,147.937099
-200.0,200,148.336775
-200.0,200,148.796067
-200.0,200,149.27652
-200.0,200,149.693346
-200.0,200,150.104981
-200.0,200,150.526402
-200.0,200,151.281811
-200.0,200,152.287965
-200.0,200,153.293504
-200.0,200,154.215773
-200.0,200,155.134373
-200.0,200,156.019312
-200.0,200,156.867547
-200.0,200,157.739215
-200.0,200,158.354739
-200.0,200,159.274942
-200.0,200,160.209989
-200.0,200,160.879985
-200.0,200,161.611815
-200.0,200,162.539975
-200.0,200,163.067162
-200.0,200,163.650189
-200.0,200,164.385994
-200.0,200,165.177452
-200.0,200,165.634704
-200.0,200,166.11503
-200.0,200,166.556325
-200.0,200,166.972867
-200.0,200,167.401764
-200.0,200,167.825281
-200.0,200,168.235026
-200.0,200,168.648108
-200.0,200,169.066938
-200.0,200,169.47298
-200.0,200,169.875177
-200.0,200,170.527463
-200.0,200,171.061812
-200.0,200,171.471265
-200.0,200,171.886456
-200.0,200,172.308341
-200.0,200,172.730828
-200.0,200,173.141119
-200.0,200,173.545144
-200.0,200,173.974528
-200.0,200,174.600478
-200.0,200,175.016821
-200.0,200,175.680463
-200.0,200,176.451848
-200.0,200,177.212865
-200.0,200,177.979112
-200.0,200,178.815945
-200.0,200,179.605131
-200.0,200,180.376328
-200.0,200,181.291501
-200.0,200,182.05342
-200.0,200,182.966398
-200.0,200,183.875707
-200.0,200,184.663165
-200.0,200,186.100717
-200.0,200,187.698377
-200.0,200,189.116303
-200.0,200,190.297442
-200.0,200,191.795327
-200.0,200,192.974446
-200.0,200,193.811631
-200.0,200,194.64651
-200.0,200,195.39407
-200.0,200,196.177569
-200.0,200,196.673336
-200.0,200,197.181368
-200.0,200,197.635819
-200.0,200,198.174265
-200.0,200,198.726841
-200.0,200,199.284627
-200.0,200,199.92338
-200.0,200,200.435636
-200.0,200,201.300032
-200.0,200,202.164835
-200.0,200,202.824293
-200.0,200,203.230773
-200.0,200,203.660715
-200.0,200,204.095528
-200.0,200,204.52668
-200.0,200,204.989264
-200.0,200,205.415836
-200.0,200,205.919329
-200.0,200,206.380033
-200.0,200,206.81616
-200.0,200,207.230826
-200.0,200,207.625647
-200.0,200,208.025625
-200.0,200,208.455934
-200.0,200,208.941723
-200.0,200,209.46006
-200.0,200,209.951387
-200.0,200,210.467525
-200.0,200,210.965841
-200.0,200,211.445606
-200.0,200,211.848294
-200.0,200,212.263121
-200.0,200,212.802965
-200.0,200,213.369128
-200.0,200,213.766829
-200.0,200,214.163556
-200.0,200,214.595604
-200.0,200,215.008291
-200.0,200,215.445685
-200.0,200,215.862255
-200.0,200,216.271811
-200.0,200,216.70263
-200.0,200,217.126564
-200.0,200,217.552733
-200.0,200,218.00337
-200.0,200,218.443724
-200.0,200,218.954757
-200.0,200,219.421903
-200.0,200,219.872803
-200.0,200,220.309479
-200.0,200,220.734945
-200.0,200,221.158821
-200.0,200,221.587101
-200.0,200,222.016459
-200.0,200,222.445524
-200.0,200,222.858741
-200.0,200,223.288606
-200.0,200,223.713872
-200.0,200,224.160057
-200.0,200,224.592515
-200.0,200,225.579652
